Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173432.35269,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.4527464,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.552812,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.652872,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.7529302,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.852988,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.9530456,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.0531025,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.1531599,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.2532172,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.3532746,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.4533317,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.553389,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.6534464,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.7535036,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.853561,36.0757766,136.2132939,0.728,36.0757765,136.213294,0.7
1751173433.9536185,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.0536766,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.153733,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.2537897,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.353847,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.4539046,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.5539618,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.654019,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.7540767,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.8541338,36.0757765,136.213294,0.709,36.0757765,136.213294,0.6
1751173434.9541912,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.0542479,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.1543052,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.2543616,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.354419,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.4544766,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.5545342,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.6545913,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.7546487,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.6
1751173435.8547063,36.0757765,136.2132939,0.628,36.0757765,136.213294,0.5
1751173435.954764,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.054822,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.1548796,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.254937,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.354994,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.4550514,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.555109,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.6551664,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.755224,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.8552818,36.0757765,136.2132941,0.622,36.0757765,136.213294,0.5
1751173436.9553394,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.055397,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.1554546,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.2555118,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
