Timestamp,M0_Thrust_N,M1_Thrust_N,M2_Thrust_N,M3_Thrust_N
2025/07/20 17:13:28.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:29.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:30.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:31.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:32.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:33.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:34.022,-0.258,-0.258,-0.258,-0.258
