Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Yaw(deg),Local_X(m),Local_Y(m),Yaw_Offset(deg),Initial_Yaw(deg)
2025-06-29T15:22:27.552404+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.652482+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.752561+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.852642+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.952722+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.052801+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.152881+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.252961+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.353041+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.453120+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.553199+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.653281+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.753360+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.853439+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:28.953517+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:29.053596+09:00,36.0757761,136.2132948,0.524,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:29.153676+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.253807+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.353901+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.453989+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.554073+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.654156+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.754238+09:00,36.0757759,136.2132949,0.512,0.0,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.854325+09:00,36.0757759,136.2132949,0.512,-0.1,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:29.954411+09:00,36.0757759,136.2132949,0.512,-0.1,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:30.054495+09:00,36.0757759,136.2132949,0.512,-0.1,0.0,0.5,175.41513124555854,0.009143094532191753,-0.010980067774653435,0.0,175.41513124555854
2025-06-29T15:22:30.154578+09:00,36.0757759,136.2132946,0.51,-0.1,0.0,0.5,175.41513124555854,-0.017871174728497863,-0.01131697604432702,0.0,175.41513124555854
2025-06-29T15:22:30.254662+09:00,36.0757759,136.2132946,0.51,-0.1,0.0,0.5,175.41513124555854,-0.017871174728497863,-0.01131697604432702,0.0,175.41513124555854
2025-06-29T15:22:30.354745+09:00,36.0757759,136.2132946,0.51,-0.1,0.0,0.5,175.41513124555854,-0.017871174728497863,-0.01131697604432702,0.0,175.41513124555854
